ID_Origen;Nombre_Origen;ID_Destino;Nombre_Destino;Viajes
1;Casco Viejo;1;Casco Viejo;55
1;Casco Viejo;2;Ensanche;1274
1;Casco Viejo;3;Iturrama;943
1;Casco Viejo;4;San Juan;778
1;Casco Viejo;5;Ermitagaña-Mendebaldea;1015
1;Casco Viejo;6;Milagrosa-Azpilagaña;911
1;Casco Viejo;7;Lezkairu;462
1;Casco Viejo;8;Mendillorri;456
1;Casco Viejo;9;Rochapea;891
1;Casco Viejo;10;Txantrea;847
1;Casco Viejo;11;San Jorge;733
1;Casco Viejo;12;Buztintxuri;359
1;Casco Viejo;13;Etxabakoitz;524
1;Casco Viejo;14;Zizur Mayor;318
1;Casco Viejo;15;Barañáin;800
1;Casco Viejo;16;Cendea de Cizur;748
1;Casco Viejo;17;Burlada;850
1;Casco Viejo;18;Villava;280
1;Casco Viejo;19;Berriozar;374
1;Casco Viejo;20;Orkoien;442
1;Casco Viejo;21;Berrioplano;578
1;Casco Viejo;22;Aranguren;952
1;Casco Viejo;23;Egüés;918
1;Casco Viejo;24;Huarte;319
1;Casco Viejo;25;Ezcabarte;265
1;Casco Viejo;26;Noáin;297
2;Ensanche;1;Casco Viejo;1274
2;Ensanche;2;Ensanche;185
2;Ensanche;3;Iturrama;2395
2;Ensanche;4;San Juan;2004
2;Ensanche;5;Ermitagaña-Mendebaldea;2349
2;Ensanche;6;Milagrosa-Azpilagaña;2362
2;Ensanche;7;Lezkairu;1133
2;Ensanche;8;Mendillorri;1253
2;Ensanche;9;Rochapea;2435
2;Ensanche;10;Txantrea;2157
2;Ensanche;11;San Jorge;1723
2;Ensanche;12;Buztintxuri;940
2;Ensanche;13;Etxabakoitz;1122
2;Ensanche;14;Zizur Mayor;789
2;Ensanche;15;Barañáin;1976
2;Ensanche;16;Cendea de Cizur;1859
2;Ensanche;17;Burlada;2112
2;Ensanche;18;Villava;696
2;Ensanche;19;Berriozar;929
2;Ensanche;20;Orkoien;1098
2;Ensanche;21;Berrioplano;1436
2;Ensanche;22;Aranguren;2366
2;Ensanche;23;Egüés;2281
2;Ensanche;24;Huarte;796
2;Ensanche;25;Ezcabarte;659
2;Ensanche;26;Noáin;740
3;Iturrama;1;Casco Viejo;943
3;Iturrama;2;Ensanche;2395
3;Iturrama;3;Iturrama;205
3;Iturrama;4;San Juan;1445
3;Iturrama;5;Ermitagaña-Mendebaldea;1911
3;Iturrama;6;Milagrosa-Azpilagaña;1691
3;Iturrama;7;Lezkairu;864
3;Iturrama;8;Mendillorri;841
3;Iturrama;9;Rochapea;1642
3;Iturrama;10;Txantrea;1576
3;Iturrama;11;San Jorge;1378
3;Iturrama;12;Buztintxuri;665
3;Iturrama;13;Etxabakoitz;994
3;Iturrama;14;Zizur Mayor;593
3;Iturrama;15;Barañáin;1493
3;Iturrama;16;Cendea de Cizur;1395
3;Iturrama;17;Burlada;1586
3;Iturrama;18;Villava;524
3;Iturrama;19;Berriozar;698
3;Iturrama;20;Orkoien;825
3;Iturrama;21;Berrioplano;1078
3;Iturrama;22;Aranguren;1776
3;Iturrama;23;Egüés;1713
3;Iturrama;24;Huarte;596
3;Iturrama;25;Ezcabarte;495
3;Iturrama;26;Noáin;555
4;San Juan;1;Casco Viejo;778
4;San Juan;2;Ensanche;2004
4;San Juan;3;Iturrama;1445
4;San Juan;4;San Juan;155
4;San Juan;5;Ermitagaña-Mendebaldea;1601
4;San Juan;6;Milagrosa-Azpilagaña;1386
4;San Juan;7;Lezkairu;716
4;San Juan;8;Mendillorri;680
4;San Juan;9;Rochapea;1330
4;San Juan;10;Txantrea;1296
4;San Juan;11;San Jorge;1151
4;San Juan;12;Buztintxuri;544
4;San Juan;13;Etxabakoitz;844
4;San Juan;14;Zizur Mayor;490
4;San Juan;15;Barañáin;1235
4;San Juan;16;Cendea de Cizur;1153
4;San Juan;17;Burlada;1310
4;San Juan;18;Villava;433
4;San Juan;19;Berriozar;577
4;San Juan;20;Orkoien;681
4;San Juan;21;Berrioplano;891
4;San Juan;22;Aranguren;1468
4;San Juan;23;Egüés;1415
4;San Juan;24;Huarte;492
4;San Juan;25;Ezcabarte;409
4;San Juan;26;Noáin;458
5;Ermitagaña-Mendebaldea;1;Casco Viejo;1015
5;Ermitagaña-Mendebaldea;2;Ensanche;2349
5;Ermitagaña-Mendebaldea;3;Iturrama;1911
5;Ermitagaña-Mendebaldea;4;San Juan;1601
5;Ermitagaña-Mendebaldea;5;Ermitagaña-Mendebaldea;110
